구분,버스명,AP별 이용량(GB)
마을버스,아리랑교통_성북01_서울75사3297,340.14352411 
마을버스,번창운수_노원14_서울75사3150,339.77893088 
마을버스,석계운수_성북12_서울75사6406,339.73446675 
마을버스,일원교통_강남01_서울75사6416,339.36325088 
마을버스,대영마을_영등포03_서울70사8506,338.68420403 
마을버스,서초교통_서초10_서울70사9243,338.45919836 
마을버스,대상운수_금천03_서울71사1599,338.31378166 
마을버스,구의교통_광진03_서울75사3321,338.19000237 
마을버스,번창운수_노원14_서울75사3609,337.88607828 
마을버스,나경운수_종로05_서울70사5506,337.74587978 
마을버스,강동교통_강동05_서울75사9736,336.92984004 
마을버스,은천운수_관악01_서울70사9064,335.46756022 
마을버스,아리랑교통_성북01_서울70사6414,335.33221390 
마을버스,흑석운수_동작01_서울75사8819,335.28979495 
마을버스,충정운수_서대문02_서울75사5180,335.18618811 
마을버스,대상운수_금천04_서울71사2505,334.97998025 
마을버스,청록운수_도봉03_서울75사3187,334.73925758 
마을버스,노들운수_동작03_서울75사8808,334.69290193 
마을버스,갈현운수_은평03_서울70사7031,334.57885776 
마을버스,신림운수_관악08_서울70사9079,334.55310017 
마을버스,흑석운수_동작01_서울75사8802,334.28784180 
마을버스,와룡운수_종로08_서울70사5536,334.15045124 
마을버스,우리운송_동대문01_서울75사6119,334.03393533 
마을버스,새롬교통_강남10_서울70사9303,333.90399162 
마을버스,청록운수_도봉03_서울71사3292,333.90179463 
마을버스,청암운수_서초18_서울75사9304,333.71942118 
마을버스,왕금운수_성동01_서울75사3298,333.18130486 
마을버스,세광운수_관악08_서울70사9073,333.12499989 
마을버스,정암운수_마포10_서울70사7758,331.85220324 
마을버스,은천운수_관악01_서울70사9063,331.77633677 
마을버스,서초교통_서초10_서울75사3632,331.51815832 
마을버스,미봉운수_강북06_서울75사3194,331.45516925 
마을버스,신호운수_관악06_서울75사5137,330.39746061 
마을버스,상도3동_동작02_서울75사3300,329.12832685 
마을버스,마포운수_마포15_서울75사5219,328.60974129 
마을버스,승마교통_마포07_서울75사5111,328.34320050 
마을버스,서북운수_서대문05_서울70사7214,327.33178698 
마을버스,아리랑교통_성북22_서울70사6600,326.85852051 
마을버스,은천운수_관악01_서울70사9065,326.85217261 
마을버스,진양교통_도봉09_서울70사6645,326.31164510 
마을버스,은천운수_관악01_서울70사9066,326.02368202 
마을버스,아리랑교통_성북01_서울70사6576,325.21966565 
마을버스,개포운수_강남05_서울75사6422,324.46981780 
마을버스,금강운수_관악03_서울75사5279,324.09185823 
마을버스,형일교통_영등포01_서울75사5246,323.53915367 
마을버스,청화운수_서초09_서울70사9248,323.03646859 
마을버스,미봉운수_강북05_서울75사3116,322.94320688 
마을버스,개포운수_강남05_서울70사9304,322.08480872 
마을버스,개포운수_강남05_서울75사9303,320.15939336 
마을버스,청화운수_서초09_서울70사9154,319.79324296 
마을버스,범일운수_금천01_서울75사5017,319.41149943 
마을버스,흑석운수_동작01_서울75사8838,319.06222552 
마을버스,강동교통_강동02_서울75사9745,318.97140481 
마을버스,서북운수_서대문05_서울70사7212,318.74963362 
마을버스,서초그린교통_서초02_서울75사3630,318.44720431 
마을버스,하이상운_강북08_서울71사1209,318.03811621 
마을버스,금강운수_관악03_서울75사5254,317.56274402 
마을버스,길음운수_성북08_서울70사6595,317.29141250 
마을버스,일원교통_강남01_서울70사9448,317.25656148 
마을버스,쌍문운수_도봉07_서울70사6643,317.03521684 
마을버스,난곡운수_관악10_서울75사5096,317.02383421 
마을버스,왕금운수_성동01_서울70사5901,317.01727305 
마을버스,청화운수_서초09_서울75사3366,315.87603781 
마을버스,진양교통_도봉09_서울75사3639,315.79244975 
마을버스,한빛운수_광진05_서울75사5125,315.44909626 
마을버스,번창운수_노원14_서울75사3143,315.31665009 
마을버스,강동교통_강동05_서울75사9718,315.20993076 
마을버스,진양교통_도봉09_서울75사3395,315.19528199 
마을버스,한강운수_영등포13_서울75사5126,314.44915757 
마을버스,보라매마을버스_동작05-1_서울75사8753,314.13964834 
마을버스,청진운수_서초13_서울70사9230,313.36636376 
마을버스,부생운수_서초15_서울70사9145,313.01876809 
마을버스,청화운수_서초09_서울71사2912,312.67773453 
마을버스,청진운수_서초13_서울75사3269,312.61520367 
마을버스,연일교통_서대문03_서울75사7202,312.38006614 
마을버스,금강운수_관악03_서울75사5022,311.94488518 
마을버스,아리랑교통_성북01_서울75사6414,311.70379650 
마을버스,범일운수_금천01_서울71사1427,310.88040117 
마을버스,와룡운수_종로08_서울75사3615,309.82910190 
