관리번호,자치구,AP별 이용량(GB)
WF110054,중구,775.8709287 
WF120220,은평구,775.3188266 
YDP140001,영등포구,775.1532692 
WF205109,중구,774.8302614 
SB020016,성북구,774.5059019 
YC170063,양천구,773.6364544 
SB020032,성북구,773.2213600 
GS140032,강서구,772.8808149 
YC170097,양천구,772.7583336 
SD000061,성동구,772.6561985 
YC120009,양천구,771.7104908 
WF2020105,동대문구,771.6826024 
WF160013,마포구,771.2578366 
WN003876,성동구,771.1310054 
WF120451,중구,770.9296697 
WF190171,강서구,770.2497512 
GB070002,강북구,769.3391776 
WN003872,성동구,768.8859650 
YC150001,양천구,768.6012537 
YC170030,양천구,768.1203022 
SIGMUL016,강서구,767.6916359 
EP120003,은평구,766.6635561 
GN110085,강남구,764.9545206 
GA070040,관악구,764.3052750 
GB060002,강북구,763.7367252 
YC170072,양천구,763.1207263 
WF190041,강남구,761.8539204 
SDM050088,서대문구,761.0613595 
GS120018,강서구,761.0210522 
SB020045,성북구,759.7720295 
EP000077,은평구,759.6595231 
DB050015,도봉구,759.1149594 
EP070027,은평구,757.3588852 
WF120333,중구,757.1854924 
EP000003,은평구,757.1111198 
WF110103,중구,757.0551094 
YC130008,양천구,756.3927494 
SDM110014,서대문구,756.3679788 
WF171781,금천구,756.0091395 
MP020058,마포구,755.9259393 
GB070003,강북구,755.7674825 
GN070043,강남구,755.5856565 
GB030001,강북구,754.5356198 
WF160069,마포구,754.5238554 
YDP180001,영등포구,753.7659646 
YC160003,양천구,753.2499902 
WN003875,성동구,753.2121739 
JG090002,중구,753.1792026 
YDP000036,영등포구,752.5955404 
GN070086,강남구,752.5169654 
WN003893,성동구,752.3746871 
WF2020107,동대문구,751.8291456 
