구분,버스명,AP별 이용량(단위 : GB)
시내버스,서울교통네트웍_160_서울70사6755,679.84515801 
시내버스,신촌교통_740_서울74사5806,679.49115299 
시내버스,삼양교통_130_서울74사3278,679.35924977 
시내버스,서울승합_340_서울74사4301,679.15289663 
시내버스,서울교통네트웍_160_서울71사3262,679.14471030 
시내버스,대원여객_107_서울74사7569,679.09728736 
시내버스,선진운수_752_서울75사2201,679.02904935 
시내버스,서울교통네트웍_160_서울70사6750,678.77172492 
시내버스,대원여객_341_서울74사5657,678.42565477 
시내버스,한국비알티_140_서울75사2557,678.12878639 
시내버스,동해운수_700_서울74사2460,677.64843814 
시내버스,한국비알티_741_서울74사7918,677.59783939 
시내버스,동아운수_153_서울74사3801,677.32043564 
시내버스,서울교통네트웍_160_서울71사3229,677.20752209 
시내버스,동아운수_152_서울71사1246,676.83111876 
시내버스,한국비알티_140_서울75사1312,676.56110041 
시내버스,신촌교통_740_서울74사5850,676.39996298 
시내버스,신길운수_606_서울74사6957,676.26910284 
시내버스,우신버스_441_서울74사2325,675.02990365 
시내버스,삼화상운_1224_서울74사4714,674.16070960 
시내버스,양천운수_6714_서울75사1805,673.98303188 
시내버스,관악교통_643_서울74사4636,673.89203236 
시내버스,다모아자동차_710_서울70사6590,673.67608659 
시내버스,진화운수_461_서울70사9531,673.46477881 
시내버스,흥안운수_1224_서울74사3960,672.87347279 
시내버스,한국비알티_741_서울71사1840,672.86742851 
시내버스,서울교통네트웍_160_서울71사3211,672.49334417 
시내버스,다모아자동차_470_서울74사2506,671.93853669 
시내버스,신길운수_673_서울74사1383,671.77538760 
시내버스,관악교통_643_서울74사4608,671.59289494 
시내버스,신인운수_571_서울74사5511,670.70257850 
시내버스,삼양교통_130_서울74사5860,670.67700438 
시내버스,한남여객운수_506_서울70사8991,670.54083571 
시내버스,동성교통_303_서울70사6519,670.53264938 
시내버스,태릉교통_202_서울74사1778,670.36719061 
시내버스,북부운수_272_서울74사6155,669.92712207 
시내버스,서울교통네트웍_160_서울70사6691,669.86468621 
시내버스,대원여객_370_서울70사6365,669.76807080 
시내버스,신인운수_571_서울74사7939,669.63116638 
시내버스,서울교통네트웍_160_서울71사3242,669.50403154 
시내버스,대성운수_362_서울74사8468,669.41241734 
시내버스,대원여객_341_서울74사3087,667.93329082 
시내버스,우신버스_541_서울74사8306,667.73950122 
시내버스,중부운수_640_서울70사7964,667.63196141 
시내버스,대원여객_341_서울70사6340,667.27282479 
시내버스,동아운수_152_서울74사4001,667.09081642 
시내버스,북부운수_272_서울74사6154,667.06237383 
시내버스,제일여객_720_서울74사7833,666.84564576 
시내버스,신길운수_606_서울74사4825,666.63140431 
시내버스,동해운수_700_서울74사3636,666.57165065 
시내버스,진화운수_461_서울75사1734,666.23804159 
시내버스,태릉교통_1156_서울74사1709,666.17291421 
시내버스,한국비알티_741_서울74사7917,666.08349793 
시내버스,한국비알티_140_서울74사1613,665.89715891 
시내버스,대원여객_370_서울75사1504,665.61144777 
